"Settings","Postavke"
"Module Enabled","Modul uključen"
"Send Transaction Email","Slanje transakcijskih mailova"
"Send transaction email when order status is changed. The transaction emails are defined in System > Order Statuses.","Slanje transakcijskih emailova kod promijene statusa. Transakcijki emailovi definiraju se u Sustav > Statusi narudžbe."
"Protect Order State","Omogući zaštitu promjene stanja narudžbe"
"By default Magento protects order state to be manually set to Complete and Closed. With this option you can override such behaviour.","Po defaultu Magento ne dopušta manualnu promjenu stanja narudžbe u Complete i Closed. Pomoću ove opcije moguće je promijeniti to ponašanje."
"Change Order Status","Promijeni status narudžbe"
"Order Status Notifications","Transakcijski mail za status narudžbe"
"Status","Status"
"% order(s) status has been changed to %","% narudžba promijenilo status u %"
"Yes","Da"
"No","Ne"